sentence,difficulty
"Les coûts kilométriques réels peuvent diverger considérablement sur les valeurs moyennes en fonction des moyens de transport utilisés, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1
Le bleu est ma couleur préférée mais je n'aime pas le vert!,A1
Le test de niveau en français est sur le site Web de l'école.,A1
Votre mari est-il également de Boston?,A1
"Dans les écoles de commerce, dans les couloirs des centres financiers, il s'agit parfois de traverser les jeunes adultes âgés de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans quinze ans"".",B1
C'est une autre histoire que j'ai beaucoup aimé.,A2
Les médecins disent souvent que vous devriez prendre un verre de vin rouge après les repas.,A2
"Il est particulièrement observé chez les personnes ayant un besoin de popularité développée, qui considère donc le moindre signal du smartphone comme indicateur possible de leur degré de popularité.",B2
J'ai trouvé le plaisir de manger un œuf à la coque,A2
"Nous allons bien, nous vivons dans une petite vieille maison avec un très beau jardin",B1
Bonjour et bonne année.,A1
La presse a abondamment fait écho aux effets secondaires ressentis par les soignants de moins de 65 ans.,B2
"Pour que le rocher s'ouvre, vous devez le toucher avec un peu d'herbe.",B1
Je vis dans une belle ville du nord de la France.,A1
"Certes, il doit répondre aux goûts des consommateurs, mais aussi aux capacités de son portefeuille.",B2
"Ma timidité m'a quitté dès que je me suis éloigné d'Ellénore; j'ai ensuite repris mes plans habiles et mes combinaisons profondes: mais à peine je me suis retrouvé avec elle, que je me sentais à nouveau tremblant et troublé.",C2
Je pense que la fréquence des galeries est le meilleur moyen d'éduquer votre œil à l'art contemporain.,B2
"Le soir, je me couche tôt parce que je dois toujours être en bonne forme.",A1
"La mère de Raphaël et Vanessa exprime sa satisfaction: puisque ses enfants ont eu un ordinateur portable, ""il a libéré ma ligne"", a-t-elle déclaré.",B2
Je ne fais pas grand-chose à la maison.,A2
Elle ajoute qu'une interdiction totale est impossible à gérer.,B2
"Sans plus d'hésitation, il se tourna vers la gauche; son pas sonnait sur la terre endurcie, et ce bruit grossier et monotone, détendu par le berceau, le tumulte de son esprit.",C2
"Comme l'expression ""Lingua Franca"" le souligne, le français est depuis très longtemps la langue internationale, étant en considération",C2
Je ne vous ai pas téléphoné parce que j'avais trop de travail.,B1
C'est peut-être ce que vous recherchez?,A2
"Quel peut être un problème dans ces petits livrets, ce qui est plutôt attrayant pour que seulement 23, 4% de leurs détenteurs arrivent à la fin?",C2
Je consulte généralement ma boîte aux lettres et j'ai ensuite un café.,A1
Nous sommes le dîner.,A2
"En fait, je trouve que l'éducation est une bonne chose.",B1
Avez-vous besoin de quelque chose?,A1
"Clandestin perpétuel, il est fourni d'un faux permis de séjour, de photocopie de la carte résidente d'un ami complice, qu'il avait ensuite traversé la France, à la bonne volonté des employeurs sans scrupules.",C1
"Le mariage mixte apparaît comme le lieu privilégié où les cultures s'affrontent, dialoguent et fusionnent.",B2
"Assis sur la terrasse dans le quartier touristique de Old Lyon, James sirote une très fraîche limonade",B2
"L'ancienne chronologie ne prend un sens que sur un grand périmètre de la Méditerranée, ainsi que cette division spatiale n'est pertinente en tant qu'entité géographique uniquement pendant cette période pendant laquelle la mer intérieure n'est pas vécue comme limite.",C2
"Voici l'un des moins obscurs: ""Plus nous devenons maîtres de la biosphère, plus nous en dépendant, plus nous le dégraderons, plus nous dégraderons nos vies5.",C2
"C'est le début des problèmes qui continuent et s'étendent au reste du territoire tout au long du mois de septembre, les célèbres ""jours de septembre"" ont amplifié le refus de Guillaume 1er pour examiner les affirmations des insurgés",B2
Les filles avaient fait des colliers de fruits rouges qui ressemblaient à des perles.,B2
Je reste avec toi.,A1
Un revenu devient donc une nécessité pour que l'homme puisse accéder à la satisfaction d'avoir respecté ses désirs,C2
Vous mangez les baies dès que vous les avez choisies,C2
"Eh bien, nous sommes tous dépassés quoi.",A1
"Un petit garçon: enfin trois dans un nid et dans l'autre, il y en a deux",A2
J'étais en bonne forme toute la matinée.,A2
"L'ordinateur peut également répondre aux interruptions qui lui permettent d'exécuter des programmes de réponse spécifiques à chacun, puis de reprendre l'exécution séquentielle du programme interrompu.",C2
Il a plu et j'ai attendu le bus.,A2
"Dans d'autres cas, ce sont des limites relatives, sur la base d'un taux de croissance de la population de référence, également valides à l'exclusion des centres ou pondérés en fonction du degré de centralité.",C2
C'est bon !,A1
"En 2007, moins de 8% des entreprises des entreprises ont fait l'objet d'une collection sélective.",B2
Les médecins des donateurs vous conseillent avec plaisir dans un tel cas vous informeront en relation avec les dons de sang.,C1
Le plus inquiétant est que la Scandinavie avait déjà battu des records de chaleur au cours de l'été 2018,A2
J'aime le ski.,A1
"""Malheureusement, il semble maintenant évident qu'il n'y a aucun moyen d'obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en supprimant sa candidature",B2
Pourquoi le poussin se trouve-t-il seul dans la forêt?,A1
Quel jour est-elle née?,A1
"Il y a en effet, les êtres humains qui ont une grande quantité de pouvoir et qui obligent l'humanité à travailler en créant un cercle vicieux qui travaille une nécessité pour accéder à ses propres désirs",C2
Une morsure de: Cette expression fait référence à la quantité d'un aliment qui est mis dans la bouche à la fois.,B1
"Si vous respectiez les indications plus sérieusement, vous trouverez votre chemin plus facilement à travers ces ruelles.",B2
"Dès que Julie avait découvert la vérité, elle était furieuse",C2
Batterie quand nous avons besoin du plus de confort,A2
"Le train, à son époque, était également craint. Brigitte Munier Robots suscite l'enthousiasme des Occidentaux, mais aussi leur anxiété: au lieu de les concevoir comme des outils simples ou, à la manière japonaise, comme des adaptables auxiliaires, ils craignent des concurrents menaçant leur avenir.",C1
Je viens de déménager dans ma nouvelle maison.,A2
"Et cette année, ça fait défiler!",B1
"Compte tenu de cette configuration, cette zone n'est pas très adaptée aux mesures sur le terrain pour limiter la diffusion de la campagne des terres; les axes de route ne représentent pas une barrière très forte pour cette espèce, on peut également penser qu'un tel résultat est un artefact en raison de l'artificielCouper d'une seule tache de prairie.",C1
"Après une réflexion minutieuse, la Commission européenne a eu une brillante idée: s'attaquer à un nouveau projet, qui avait déjà échappé à sa sagacité légendaire.",C1
"Avec l'expérience, le vendeur distant peut devenir une foule d'une charte à distance, superviseur d'équipe, gestionnaire de plate-forme.",B1
"Et vous, qu'allez-vous faire?",A2
Les évaluations boursières de sociétés Internet comme Amazon,C2
"Sur d'autres, nous avons entendu une série de détonations, tandis que les manifestants ont chanté: ""Notre révolte doit réussir"".",C1
Les baby-boomers sont convaincus: tout peut recommencer à 50 ans.,C1
"Rien n'était si beau, si soulevé, si brillant, si bien ordonné que les deux armées.",B1
Quel est ton nom ?,A1
