sentence,difficulty
"Real kilometric costs can significantly diverge on average values depending on the means of transport used, the occupancy rate or the filling rate, the infrastructure used, the topography of the lines, the traffic flow, etc.",C1
Blue is my favorite color but I don't like green!,A1
The level test in French is on the school's website.,A1
Is your husband also from Boston?,A1
"In business schools, in the corridors of financial centers, it sometimes comes to cross young adults aged 20 or 25 who plan to open a guest house ""in fifteen years"".",B1
This is another story that I liked a lot.,A2
Doctors often say that you should have a drink of red wine after meals.,A2
"It is particularly observed in people with a developed popularity need, who therefore consider the slightest signal of the smartphone as a possible indicator of their degree of popularity.",B2
I found the pleasure of eating an egg to the hull,A2
"We are well, we live in a small old house with a very beautiful garden",B1
Hello and good year.,A1
The press has abundantly echoed the side effects felt by caregivers under the age of 65.,B2
"For the rock to open, you have to touch it with a bit of grass.",B1
I live in a beautiful city in the north of France.,A1
"Admittedly, he must respond to consumer tastes, but also to the capacities of his wallet.",B2
"My shyness left me as soon as I moved away from Ellénore;I then resumed my skillful plans and my deep combinations: but hardly I found myself with her, than I felt trembling again and troubled.",C2
I think that frequenting galleries is the best way to educate your eye to contemporary art.,B2
"In the evening, I go to bed early because I must always be in good shape.",A1
"The mother of Raphaël and Vanessa expresses her satisfaction: since her children have had a laptop, ""it released my line,"" she said.",B2
I don't do much at home.,A2
She adds that a total prohibition is impossible to manage.,B2
"Without more hesitation, he turned to the left;His step sounded on the hardened land, and this rude, monotonous noise, relaxed by cradling, the tumult of his mind.",C2
"As the expression ""lingua franca"" points out, French has been for a very long time the international language, having regard to our political influence as well as cultural",C2
I didn't phone you because I had too much work.,B1
Maybe that's what you're looking for?,A2
"What can be a problem in these little booklets, which is rather attractive to that only 23, 4 % of their holders arrive at the end?",C2
I usually consult my mailbox.And then I have a coffee.,A1
We are dinner.,A2
"In fact, I find that education is a good thing.",B1
Do you need something?,A1
"Perpetual clandestine, it is provided with a false residence permit, photocopy of the resident card of a complice friend, which he had then crossed France, to the goodwill of unscrupulous employers.",C1
"Mixed marriage appears as the privileged place where cultures clash, dialogue and merge.",B2
"Sitting on the terrace in the tourist district of Old Lyon, James sips a very fresh lemonade",B2
"The ancient chronology takes on meaning only over a large perimeter of the Mediterranean, as well as this spatial division is relevant as a geographic entity only during this period during which the inner Sea is not experienced as a limit.",C2
